,energy,pulsewidth,spotsize,targetthickness
422,2.403765,463.0,3.3,506.0
182,30.0,30.0,76.41406180121109,2000.0
171,30.0,30.0,140.04587892049375,2000.0
464,2.335895,30.0,3.3,685.0
117,30.612244897959183,620.0,4.7,15000.0
138,2.45621,30.0,3.3,581.0
576,2.29803,30.0,3.3,266.0
827,2.314995,279.0,3.3,834.0
72,47.466,2280.0,2.6590885272,4000.0
878,2.31731,279.0,3.3,805.0
843,2.343705,279.0,3.3,966.0
511,2.32419,30.0,3.3,452.0
129,85.0,1025.0,12.0,15000.0
956,1.569905,279.0,3.3,433.0
105,450.0,610.0,50.0,50000.0
181,30.0,30.0,75.68681410806745,2000.0
1026,1.57277,279.0,3.3,661.0
960,1.56223,279.0,3.3,565.0
339,2.38904,30.0,3.3,519.0
73,40.662000000000006,4568.0,2.9015911197,4000.0
909,1.572155,30.0,3.3,548.0
479,2.34427,30.0,3.3,617.0
446,2.343815,30.0,3.3,528.0
930,1.551985,187.0,3.3,593.0
482,2.360525,30.0,3.3,657.0
70,19.521,475.0,2.4290139762,4000.0
1019,1.547005,279.0,3.3,714.0
37,0.3,122.0,2.3,1500.0
947,1.54911,279.0,3.3,559.0
216,30.0,889.1440121045786,4.1,2000.0
88,1.5,30.0,17.156048874278195,15000.0
255,12.870932059181115,30.0,4.1,2000.0
787,2.36549,463.0,3.3,699.0
760,2.35777,279.0,3.3,1063.0
352,2.348515,30.0,3.3,574.0
16,137.21400000000003,500.0,2.438152695,1100.0
1020,1.56084,279.0,3.3,673.0
288,1.8,100.0,5.6,2511.0
682,2.3359,30.0,3.3,130.0
206,2.401765,30.0,3.3,597.0
414,2.43409,463.0,3.3,422.0
124,10.0,45.0,2.5,20000.0
325,0.3,33.0,8.95945432,500.0
262,2.36938,30.0,3.3,739.0
1092,1.54315,279.0,3.3,277.0
657,2.311765,30.0,3.3,287.0
613,2.298565,30.0,3.3,291.0
35,0.3,28.0,2.3,1500.0
776,2.388265,279.0,3.3,919.0
767,2.300885,279.0,3.3,990.0
376,2.35929,187.0,3.3,645.0
15,102.65480093676815,500.0,3.0,1500.0
264,27.522068911957696,30.0,4.1,2000.0
230,2.3909,30.0,3.3,654.0
706,2.29926,30.0,3.3,295.0
753,2.34638,279.0,3.3,812.0
246,3.5545840854602155,30.0,4.1,2000.0
324,2.41272,30.0,3.3,796.0
34,0.3,448.0,2.3,15000.0
695,2.36175,30.0,3.3,256.0
1051,1.56093,30.0,3.3,282.0
25,0.3,64.0,2.3,15000.0
658,2.32792,30.0,3.3,283.0
750,2.374125,279.0,3.3,795.0
265,2.41954,30.0,3.3,779.0
321,0.3,33.0,8.95945432,12000.0
429,2.34135,30.0,3.3,427.0
986,1.561835,279.0,3.3,555.0
2,122.63400000000001,500.0,2.664386241,10000.0
32,0.3,267.0,2.3,15000.0
815,2.339345,279.0,3.3,829.0
231,2.385395,30.0,3.3,637.0
965,1.51798,279.0,3.3,469.0
579,2.27376,30.0,3.3,275.0
1087,1.55077,279.0,3.3,280.0
931,1.546735,187.0,3.3,547.0
964,1.552,279.0,3.3,476.0
1042,1.559415,279.0,3.3,595.0
69,1.8,415.0,5.6,120.0
1081,1.5197,30.0,3.3,265.0
809,2.33162,279.0,3.3,881.0
405,2.407705,463.0,3.3,647.0
694,2.32635,30.0,3.3,261.0
109,5.714285714285714,620.0,4.7,15000.0
257,16.273139295449393,30.0,4.1,2000.0
1071,1.524845,30.0,3.3,264.0
440,2.31384,30.0,3.3,630.0
349,10.0,45.0,2.5,50000.0
249,6.902077295669319,30.0,4.1,2000.0
984,1.56437,279.0,3.3,587.0
1086,1.546385,279.0,3.3,246.0
1082,1.5707,279.0,3.3,283.0
1013,1.6036,279.0,3.3,654.0
560,2.347405,30.0,3.3,299.0
629,2.344235,30.0,3.3,252.0
853,2.360735,279.0,3.3,740.0
1007,1.558995,279.0,3.3,595.0
569,2.340155,30.0,3.3,605.0
509,2.34806,30.0,3.3,282.0
538,2.34417,30.0,3.3,526.0
97,0.3,30.0,6.0,15000.0
1050,1.48325,30.0,3.3,860.0
758,2.314265,279.0,3.3,1111.0
286,1.8,100.0,5.6,15.0
799,2.32073,142.0,3.3,937.0
968,1.523935,279.0,3.3,490.0
1033,1.532805,279.0,3.3,667.0
977,1.536505,279.0,3.3,507.0
979,1.558935,279.0,3.3,503.0
223,30.0,347.7501782308164,4.1,2000.0
726,2.35588,30.0,3.3,1070.0
278,2.405105,30.0,3.3,793.0
193,30.0,30.0,29.326222221065116,2000.0
203,2.381305,30.0,3.3,547.0
202,2.4129,30.0,3.3,576.0
663,2.33122,30.0,3.3,323.0
89,1.5,30.0,15.661258276838801,15000.0
683,2.342305,30.0,3.3,130.0
636,2.325785,30.0,3.3,316.0
326,2.382235,30.0,3.3,826.0
395,2.417935,279.0,3.3,665.0
176,30.0,30.0,110.7956914084241,2000.0
242,2.41452,30.0,3.3,774.0
884,2.35059,279.0,3.3,629.0
371,2.38577,187.0,3.3,575.0
974,1.521905,279.0,3.3,526.0
79,0.38,40.0,118.23990703814663,25.0
833,2.372845,279.0,3.3,686.0
282,1.8,30.0,5.6,6520.0
691,2.347865,30.0,3.3,269.0
18,54.27,500.0,2.127339324,1100.0
125,10.0,45.0,2.5,500.0
906,1.562325,30.0,3.3,595.0
795,2.357485,142.0,3.3,898.0
